location,Jardim de Belém
lat,38.75000
lon,-9.00000
asl,70.106
variable,Precipitation Total
unit,mm
level,sfc
resolution,hourly
aggregation,None
timestamp,Jardim de Belém Precipitation Total
20230217T2200,0.0
20230217T2300,0.0
20230218T0000,0.0
20230218T0100,0.0
20230218T0200,0.0
20230218T0300,0.0
20230218T0400,0.0
20230218T0500,0.0
20230218T0600,0.1
20230218T0700,0.0
20230218T0800,0.0
20230218T0900,0.0
20230218T1000,0.0
20230218T1100,0.0
20230218T1200,0.0
20230218T1300,0.0
20230218T1400,0.0
20230218T1500,0.0
20230218T1600,0.0
20230218T1700,0.0
20230218T1800,0.0
20230218T1900,0.0
20230218T2000,0.0
20230218T2100,0.0
20230218T2200,0.0
20230218T2300,0.0
20230219T0000,0.0
20230219T0100,0.0
20230219T0200,0.0
20230219T0300,0.0
20230219T0400,0.0
20230219T0500,0.0
20230219T0600,0.0
20230219T0700,0.0
20230219T0800,0.0
20230219T0900,0.0
20230219T1000,0.0
20230219T1100,0.0
20230219T1200,0.0
20230219T1300,0.0
20230219T1400,0.0
20230219T1500,0.0
20230219T1600,0.0
20230219T1700,0.0
20230219T1800,0.0
20230219T1900,0.0
20230219T2000,0.0
20230219T2100,0.0
20230219T2200,0.0
20230219T2300,0.0
20230220T0000,0.0
20230220T0100,0.0
20230220T0200,0.0
20230220T0300,0.0
20230220T0400,0.0
20230220T0500,0.0
20230220T0600,0.0
20230220T0700,0.0
20230220T0800,0.0
20230220T0900,0.0
20230220T1000,0.0
20230220T1100,0.0
